Date,Open,High,Low,Close,Volume,,
2016-07-27,35.3,36.2,34.5,34.7,203178,,
2016-07-26,34.95,36.15,34.6,34.9,293890,,
2016-07-25,34.6,38.45,34.05,34.8,902050,,
2016-07-22,34.2,35.2,33.85,34.8,132663,,
2016-07-21,36.4,36.4,34.3,34.6,145769,,
2016-07-20,36.15,36.75,35.85,36.15,440650,,
2016-07-19,33.4,36.4,33.4,34.95,423095,,
2016-07-18,33.5,34.35,33.1,33.3,96778,,
2016-07-15,34.4,34.7,33.5,33.6,131696,,
2016-07-14,34.85,35.5,34.35,34.6,118791,,
2016-07-13,34.2,36.2,33.6,34.85,304992,,
2016-07-12,34.25,34.95,33.5,33.95,160474,,
2016-07-11,34.7,35.4,34.1,34.3,119539,,
2016-07-08,35,35.35,34.2,34.35,146832,,
2016-07-07,34.2,36.9,33.7,35.25,402561,,
2016-07-06,34.15,34.15,34.15,34.15,0,,
2016-07-05,35.5,35.5,33.9,34.15,135523,,
2016-07-04,35.5,36.55,34.7,35.2,143385,,
2016-07-01,37.05,38.25,35.6,36.1,280347,,
2016-06-30,32.8,37.8,32.8,36.6,1150890,,
2016-06-29,32.4,33.75,32.25,33,534582,,
2016-06-28,32.85,33.55,31.5,32,382371,,
2016-06-27,32.2,33.8,31.55,32.4,78882,,
2016-06-24,31.65,32.25,30.3,31.85,126790,,
2016-06-23,32.75,33.25,32.25,32.55,64593,,
2016-06-22,33.6,33.85,32.2,32.7,105756,,
2016-06-21,32.55,33.8,32.1,33.1,106162,,
2016-06-20,32.55,33,32,32.6,86680,,
2016-06-17,33.25,33.8,32.15,32.45,121073,,
2016-06-16,32.45,34.25,32.05,32.8,145139,,
2016-06-15,32.75,34.25,31.8,32.95,236686,,
2016-06-14,32.95,32.95,31.4,32,93050,,
2016-06-13,32.75,32.75,31,31.45,123469,,
2016-06-10,33.95,35.4,31.55,32.2,295915,,
2016-06-09,32.75,34,32.35,33.9,135253,,
2016-06-08,32.7,33.5,32.25,32.8,98914,,
2016-06-07,32.35,33.35,32,32.7,83130,,
2016-06-06,32.75,32.75,31.85,32,77295,,
2016-06-03,33.35,34.8,31.05,32.55,169578,,
2016-06-02,33,33.8,32.7,32.95,102646,,
2016-06-01,29.3,35,29.3,33.7,397243,,
2016-05-31,31.05,32.25,29.65,30.4,142988,,
2016-05-30,33.95,34.3,32.05,32.2,151019,,
2016-05-27,33.45,34,32.6,33.3,140691,,
2016-05-26,33.9,33.9,32.2,32.9,125987,,
2016-05-25,35.3,35.3,32.6,33.5,180768,,
2016-05-24,37,37,30.7,34,368270,,
2016-05-23,40.6,40.6,37.65,38.1,114265,,
2016-05-20,41,41.5,39.25,39.85,124835,,
2016-05-19,41.35,42.2,40.25,40.6,100382,,
2016-05-18,41.35,41.75,40.65,41.1,93488,,
2016-05-17,42.25,42.85,41.2,41.4,73174,,
2016-05-16,41.8,42.3,41.5,41.85,94489,,
2016-05-13,42.5,42.7,41.55,41.75,96226,,
2016-05-12,42.05,43.5,42.05,42.7,113195,,
2016-05-11,42.75,43.6,42.25,42.5,67705,,
2016-05-10,43.05,43.2,42.3,42.95,97086,,
2016-05-09,43.2,43.25,42.6,42.75,93881,,
2016-05-06,42.65,43.4,41.7,42.75,59726,,
2016-05-05,41.25,44,41.2,42.8,119225,,
2016-05-04,42.6,43,41.05,41.5,85217,,
2016-05-03,43.65,44.65,42.35,42.6,112978,,
2016-05-02,42.3,44.9,41.9,43.05,166417,,
2016-04-29,43,43.15,41.6,42.2,109540,,
2016-04-28,44,44.2,42.85,43.15,90977,,
2016-04-27,44.4,44.85,43.5,43.85,177548,,
2016-04-26,44.2,44.85,43.5,44.1,73265,,
2016-04-25,44.3,45.4,43.6,43.9,135693,,
2016-04-22,43,45,43,44.05,100723,,
2016-04-21,45.15,45.6,43.8,44.05,113141,,
2016-04-20,45.4,46.5,44.35,44.8,173423,,
2016-04-19,45.65,45.65,45.65,45.65,0,,
2016-04-18,44,47,43.5,45.65,226339,,
2016-04-15,44.4,44.4,44.4,44.4,0,,
2016-04-14,44.4,44.4,44.4,44.4,0,,
2016-04-13,45.95,46.5,44,44.4,151199,,
2016-04-12,44.1,45.65,43.75,45.15,184772,,
2016-04-11,45.2,45.4,43.3,43.8,147078,,
2016-04-08,43.95,46.15,43.95,44.75,324130,,
2016-04-07,41.4,43.9,41,42.85,362185,,
2016-04-06,40.15,41.9,40.1,40.75,70999,,
2016-04-05,40.4,41.85,39.25,40.35,186750,,
2016-04-04,39.5,41.45,39.5,40.5,128810,,
2016-04-01,40,40.65,39.3,39.55,79095,,
2016-03-31,39.35,40.9,39,39.85,137287,,
2016-03-30,37,40.25,36.9,39.3,267629,,
2016-03-29,37.3,37.6,35.7,36.05,95824,,
